,S.N.,Question,Option A,Option B,Option C,Option D,Correct Option
74,75,"In inkjet printer, net charges are diverted by deflection plates towards",Paper,Nozzle,Gutter,Ink supplier,C
75,76,Map of electric field lines provides information of electric fields',Direction,Strength,Position,Both a and b,D
76,77,Flux will be minimum when electric field lines to area are,Parallel,Perpendicular,At angle,At distance,B
77,78,Number of field lines passing at certain area are known as,Electric field,Electric flux,Electrostatics,Electric field lines,B
78,79,System international unit of electric flux is,Nm²c-1,Nm²c,Nm1c-1,M²c-1,A
79,80,"If electric field lines are parallel to area, electric flux will be",Min,Max,Zero,One,B
80,81,Shark can detect potential difference of its prey up to sensitivity of,Micro volt,Mega volt,Pico volt,Nano volt,D
81,82,"For detecting abnormal behavior of brain, technique used is",EEG,ECG,ENG,EFG,A
82,83,ERG used for activity of an eye is an abbreviation of,Eyeretinography,Electroretinography,Electricalretinography,Both a and b,B
83,84,Unit of voltage (v) is equivalent to unit,J C-1,C J-1,J,C,A
84,85,Shark's organ for detection of electric field is named as,Amplitude of lorenzini,Ampullae of lorenzini,Lorenzini,Ampullae,B
85,86,Transformer is being used in,Dc circuit,Ac circuit,Dc motor,Both a and b,B
86,87,Emf produced in conductor is known as,Emf,Induced emf,Deduce emf,Both a and b,B
87,88,"A metallic ring is attached to wall of a room. when north pole of magnet is brought near ring, induced current in ring is",Zero,Clockwise,Anti-clockwise,Infinite,C
88,89,"A helium nucleus enters perpendicularly in magnetic field 'b' with velocity 'v', then magnetic force acting on it will be",2 bev,Zero,evb,evb/2,A
89,90,Lenz's law is in accordance with law of conservation of,Energy,Mass,Charge,Momentum,A
90,91,Value of 1 ev is equivalent to value of,1.8x10⁻¹⁹ j,1.9x10⁻¹⁹ j,1.6x10⁻¹⁹ j,2.1x10⁻¹⁹ j,C
91,92,"If charged particle of 2e falls at potential difference of 6 v, then energy required to fall will be",19 j,19.2 j,19x10⁻¹⁹ j,19.2x10⁻¹⁹ j,D
92,93,"In a transistor, emitter current is",Slightly more than collector,Slightly less than collector,Equal to the collector,Equal to base current,B
93,94,A simple diode can be used as,Rectifier,Modulator,Amplifier,Oscillator,A
94,95,"Current flowing into base of transistor is 100 µa and current gain is 100 µa, its collector current will be",10 ma,110 ma,100 ma,10¹ ma,A
95,96,Least doped region in a transistor is,Emitter,Collector,Base,Both a and b,C
96,97,Device named as a transistor has,Emitter and collector equally doped,Emitter heavily doped,Collector heavily doped,Both a and b,B
97,98,At position of (4i + 3j) by a point charge 5x10⁻⁶ c placed at origin will produce electric field of,1240i + 1180j,1442i + 2080j,2440i + 3080j,1440i + 1080j,D
98,99,Two point charges -1x10⁻⁶ c and 4x10⁻⁶ c separated by 3 m distance have zero field location of,1 m,2 m,3 m,4 m,C
99,100,Product of resistance of 1 Ω and capacitance of 1 farad is equal to,One minute,One sec,One volt,One joule,B
100,10¹,"According to equation of continuity, when water falls its speed increases, while its cross sectional area",Increases,Decreases,Remain same,Different,B
101,102,Simplified equation of continuity is represented as,A₁V₁ = A₂V₂,A₁V₂ = A₂V₂,A₁V₁ = A₁V₂,A₂V₁ = A₁V₁,A
102,103,"If fluid is incompressible and is steady, its mass is",Increasing,Decreasing,Same,Conserved,D
103,104,Constant of equation of continuity is known as,Flow rate,Friction,Fluid flow,Surface tension,A
104,105,Density of water is equal to,900 kg m⁻³,950kg m⁻³,1000kg m⁻³,1050kg m⁻³,C
105,106,Errors that occur during measurement of quantities are of,2 types,3 types,4 types,5 types,A
106,107,Prefix named as femto has a factor of,10⁻¹2,10¹2,10¹5,10⁻¹5,D
107,108,Systematic error occurred due to poor calibration of instrument that can be corrected by,Taking several readings,Replacing instruments,Taking mean of values,Taking median of values,B
108,109,Error that occurs due to equally affected measurements is called,Random error,Systematic error,Frequent error,Precision,B
109,110,Error that occurs during measurement of quantities is,Random error,Systematic error,Frequent error,Both a and b,D
110,111,"If layers of fluid have frictional force between them, then it is known as",Viscous,Non-viscous,Incompressible,Both a and b,A
111,112,"If every particle of fluid has irregular flow, then flow is said to be",Laminar flow,Turbulent flow,Fluid flow,Both a and b,B
112,113,"If every particle of fluid follows same path, then flow is said to be",Laminar flow,Turbulent flow,Fluid flow,Both a and b,A
113,114,A racing car has a body with,Laminated design,Turbulent design,Flat design,Streamlined design,D
114,115,Force due to water flow is represented by formula,F = (-m/t)v,F = (-t)v,F = (-m)v,F = (-m/t),A
115,116,"For gauss's law, point charges in closed surface must be distributed",Arbitrarily,Sequentially,Rational,In line,A
116,117,Gauss's law due to different charge distribution is used to calculate,Electric field,Electric charge,Electric intensity,Electric field lines,C
117,118,Law stated as flux is 1/Eo times total charge is,Ohms law,Newton's law,Gauss's law,Coulombs law,C
118,119,A geo-stationary satellite orbiting around earth is used for,National communication,National conferencing,International conferencing,International communication,D
119,120,Orbital motion of geo-stationary satellite with respect to motion of earth is,Asynchronized,Synchronized,Unsynchronized,Same,B
120,121,Artificial satellites are objects that orbit around earth due to,Earths mass,Gravity,Force,Earths weight,B
121,122,Geo-stationary satellites are also known as the,Geo-asynchronous satellites,Synchronous satellites,Geo-synchronous satellites,Asynchronous satellites,C
122,123,A geo-stationary satellite orbits around earth once,Per month,Per week,Per day,Per hour,C
123,124,Self-induced emf is sometimes also known as,Induced emf,Deduce emf,Back emf,Both a and b,C
124,125,"Changing current in one coil induces emf in another, this phenomena is known as",Emf,Induced emf,Self-induction,Mutual induction,D
125,126,Negative sign of equation of self-induction shows that,Deduce emf,It maintains the change,It opposes the change,Induced emf,C
126,127,Changing current in a coil produces emf in same coil. this phenomenon is known as,Mutual induction,Self-induction,Induced emf,Emf,B
127,128,Units given by system international for measuring physical quantities are called,IS units,SI units,S units,I units,B
128,129,"According to system international, amount of substance is measured in",Moles,Kilograms,Meters,Candelas,A
129,130,Base units of physical quantities given by system international are,Six,Seven,Eight,Nine,B
130,131,System international for describing units was built up from,2 kind of units,3 kind of units,4 kind of units,5 kind of units,A
131,132,"According to system international, length of substance is measured in",Moles,Seconds,Meters,Kelvin,C
132,133,Main frontiers of fundamental science are,Two,Three,Four,Five,B
133,134,Branch of science that deals with natural phenomena is called,Physics,Mathematics,Chemistry,English,A
134,135,This whole world is composed of small particles that are made up of,Electrons,Protons,Cathode,Both a and b,D
135,136,Branch of science dealing with matter and energy and their relationship is called,Physics,Mathematics,Chemistry,English,A
136,137,Branch of physics that deals with study and properties of solids is called,Nuclear physics,Chemistry,Solid state physics,Particle physics,C
137,138,Law of conservation of angular momentum is mostly used in,Diving,Ice-skating,Driving,Both a and b,D
138,139,"""if no external torque is applied on a body, total angular momentum remains constant"" stated law is called",Law of conservation of angular velocity,Law of conservation of angular acceleration,Law of conservation of angular momentum,Law of conservation of angular speed,C
139,140,Point of intersection of two coordinate axes is called,Mid,Origin,Circumference,Radius,B
140,141,Position vector is vector that defines vector's,Angle,Direction,Magnitude,Position,D
141,142,Vector quantities having directions are denoted by,A,X,Capital letters,Small letters,C
142,143,Decomposing vectors into mutually perpendicular components is called,Rectangular components,Resultant,Unit vector,Null vector,A
143,144,Product of mass and velocity is known as,Impulse,Distance,Momentum,Velocity,C
144,145,Time rate of change of momentum of a body is equal to,Displacement,Applied force,Speed,Velocity,B
145,146,Throwing a package onto shore from a boat at rest will cause boat to move,Inward from shore,Outward from shore,At rest,Uniform motion,B
146,147,Product of force and time is known as,Impulse,Distance,Momentum,Velocity,A
147,148,Our hair on our skull act like a,Crumple zone,Cover,Cap,Beauty,A
148,149,"In defining orbital velocity of satellite, thing which is unimportant is",Mass of satellite,Mass of earth,Gravitational force,Radius of earth,A
149,150,First human satellite of earth was man named as,Bruce mccandless,Mark bruce,Ken bruce,Bruce hilton,A
150,151,Ideal standard for measuring base quantities involves characteristics that are,Accessible,Invariable,Acceptable,Both a and b,D
151,152,A physical quantity is,Weight,Stress,Length,Thinking,C
152,153,Base quantities can be measured according to the,Selected standards,Local standards,Global standards,Any units,A
153,154,One of physical quantities which is not a derived quantity,Velocity,Acceleration,Force,Length,D
154,155,Ideal standard for measuring base quantities mainly involves,2 characteristics,3 characteristics,4 characteristics,5 characteristics,A
155,156,Researches of studying nature and type of forces that hold things together are dealt by,Physics,Digital designs,Math,Operating systems,A
156,157,Branch of physics that deals with properties and behavior of elementary particles is called,Relativity,Particle physics,Nuclear physics,Chemistry,B
157,158,Computer which is a product of chips has been developed from basic idea of,Physics,Operating systems,Micro controllers,English,A
158,159,"""physics is branch of science"" name physics means",Matter,Material,Nature,Galaxy,C
159,160,Branch of physics that deals with nuclear energies is called,Nuclear physics,Particle physics,Solid state physics,Relativity,A
160,161,"F = ma, this equation is referred to as newton's",Second law,First law,Third law,Fourth law,A
161,162,"If a body has 200 kg mass and its velocity gets reduced from 25 m s⁻¹ to 20 m s⁻¹ in 4 seconds, average retarding force on a body will be",-200 n,200 n,-250 n,250 n,C
162,163,"If a body moving with initial, constant velocity of 10 m s⁻¹, accelerates for 2 seconds at a constant rate of 12 m s-2, final velocity of body will be",30 m s⁻¹,34 m s⁻¹,40 m s⁻¹,45 m s⁻¹,B
163,164,Average angular velocity of a body rotating at angle of 30° for 5 seconds will be,6 rad s⁻¹,7 rad s⁻¹,8 rad s⁻¹,10 rad s⁻¹,A
164,165,"If body accelerates from rest to angular velocity of 45 revolutions/min in a time of 1.6 seconds, its angular acceleration will be",6.6x10⁻⁹ rad,6x10⁻⁹ rad,7.6x10⁻⁹ rad,8x10⁻⁹ rad,A
165,166,Power of machine when work done is 30 j in a time interval 5 seconds will be,120 w,125 w,145 w,150 w,D
166,167,"Body having weight 50 kg turning in a circle at 5 m s⁻¹, if radius of circle is 5 m, force exerted on body to hold it in circular path is",200 n,250 n,300 n,350 n,B
167,168,"A car of 200 kg is moving in a circle of radius 4.3 m with angular velocity of 2 rad s⁻¹, it's angular momentum will be",3.3x10³,7.3x106,7.3x10³,8x10³,C
168,169,"If motor gets over loaded, then its",Slows down,Back emf decreases,Back emf increases,Both a and b,D
169,170,"With alternative current, inductor behaves like",Resistor,Capacitor,Transistor,Wire,A
170,171,"A metal rod of 25 cm is moving at 0.5 m s⁻¹ in direction perpendicular to 0.25 t magnetic field, emf produced is",0.12x10⁻² v,1.12x10⁻² v,3.12x10⁻² v,2.12x10⁻² v,C
171,172,"Law that states that direction of induced current is always as to oppose change which causes current, is",Faradays law,Lenz's law,Newton's law,Motional emf,B
172,173,While grasping wire in right hand with thumb pointing to direction of current is known as,Right hand rule,Left hand rule,Thumb hand rule,Both a and b,A
173,174,A man of mass 30 kilograms climbs stairs of height 5 meters in 4 seconds. power output produced will be,367.5 w,36 w,370 w,397.5 w,A
174,175,"If a brick having mass 2 kg is dropped from height of 5 m, its velocity at a height of 3 m will be",5 m s⁻¹,5.6 m s⁻¹,6.3 m s⁻¹,8.4 m s⁻¹,C
175,176,10 bricks each having mass of 1.5 kg with thickness of 6 cm will have work done to stack bricks,9 j,6 j,3 j,0 j,A
176,177,2 kg ball moving with velocity of 5 m s⁻¹ collides with 4 kg ball at rest. velocities of both balls after collision will be,2.66 and 3.33,1.66 and 4.22,1.66 and 1.33,1.66 and 3.33,D
177,178,"A ball is thrown from height of 10m with velocity 21 m s⁻¹, it will hit ground at",30 m s⁻¹,31 m s⁻¹,32 m s⁻¹,35 m s⁻¹,A
178,179,Electro motive force induced by motion of conductor across magnetic field is called,Emf,Motional emf,Static emf,Rotational emf,B
179,180,"Magnetic field is 0.6t and rate of change of area is 0.8 m²/s when n=1, induced emf would be",0.48v,0.44v,1.2v,2.1v,A
180,181,SI unit of magnetic induction is,N c-1,Tesla,Weber,N m a-1,B
181,182,Magnetic field is set up in region surrounding current carrying,Rod,Wire,Blog,Plate,B
182,183,If a current carrying conductor is placed in uniform magnetic field parallel to direction of field then force experienced by conductor will be,Ilbxcosɵ,Ilb,Zero,Ilbxsinɵ,C
183,184,Vector product of two vectors is also known as,Scalar product,Dot product,Point product,Cross product,D
184,185,Multiplication of two vectors is of,2 types,3 types,4 types,5 types,A
185,186,Cross product of axb with sin(0) would produce results equal to,A.b,Axb,Ab,A,C
186,187,Scalar product of a.b with angle 180° would produce results equal to,A.b,(-ab),Ab,B,B
187,188,Height of projectile is given by formula,2as = vf² - vi²,2 = vf² - vi²,2s = vf² - vi²,2a = vf² - vi²,A
188,189,Time of flight of body is given by formula,T = 2vix(sin/g),T = (2vi + sin)/g,T = (2vi - sin)/g,T = 2vi/g,A
189,190,A typical rocket consumes fuel on amount of,8000 kg s⁻¹,9000 kg s⁻¹,10000 kg s⁻¹,11000 kg s⁻¹,C
190,191,Typical rocket ejects burnt gases at speeds of over,2000 m s⁻¹,3000 m s⁻¹,3500 m s⁻¹,4000 m s⁻¹,D
191,192,"As body rolls down, its gravitational energy changes to",Rotational kinetic energy,Rotational potential energy,Linear kinetic energy,Linear potential energy,A
192,193,Rotational kinetic energy of disc is given by,1/4(mv²),1/2(mv²),1/8(mv²),1/6(mv²),A
193,194,Rotational kinetic energy of hoop is,1/4(mv²),1/2(mv²),1/8(mv²),1/6(mv²),B
194,195,Wheel will have both rotational and translational kinetic energies when it,Stops,Moves,Rolls,Jumps,C
195,196,"According to si units, mass of a substance is measured in",Moles,Kilograms,Meters,Candelas,B
196,197,Derived units of physical quantities given by si are,Five,Seven,Eight,Nine,A
197,198,Ampere unit according to si units is a,Base unit,Derived unit,International unit,Both a and b,A
198,199,Angle between two radii of circle that cut off on circumference is called,Radian,Steradian,Plane angle,Both a and b,A
199,200,"""candela"", according to system international is a",Base unit,Derived unit,Supplementary unit,International unit,A
200,201,Zero digit between two significant figures is,Significant,Non-significant,May not be significant,Maybe significant,A
201,202,"In figure '12.7', first two digits are accurate while third one is",Accurate,Precise,Doubtful,Correct,C
202,203,Number of digits that are reasonably sure are called,Limitation of instruments,Systematic error,Frequent error,Significant figures,D
203,204,"After decimal point, number is less than 5 which is to be neglected,then retained number",Gets increased,Get decreased,Remains unchanged,May decreased,C
204,205,Accurately known digits and first doubtful digit are called,Limitation of instruments,Systematic error,Frequent error,Significant figures,D
205,206,Two forces 10 n and 20 n making an angle 30° and 60° will give a resultant force of,15 n,26 n,27 n,29 n,D
206,207,Dimensions of coefficient of viscosity is,Ml⁻¹t⁻¹,Ml⁻¹t⁻²,Ml⁻²t⁻¹,Ml⁻¹t,A
207,208,Unit vector in direction of vector f = 6i + 5j is,(6i + 5j)/7.81,(6i + 5j)/6,(6i + 5j)/5,(6i + 5j)/6.1,A
208,209,Net force acting on a droplet of water is equal to,Weight - drag force,Weight + drag force,Weightxdrag force,Weight/drag force,A
209,210,"When net force acting on a droplet becomes zero, its constant speed is known as",Viscosity,Friction,Gravity,Terminal velocity,D
210,211,"When net force acting on a droplet becomes zero, it falls with",Increasing speed,Decreasing speed,Constant speed,Zero velocity,C
211,212,Dimensions of rate of change of flux are equivalent to those of,Voltage,Current,1/charge,Charge,A
212,213,Turn ratio (r) for a step-up transformer is,R = 0,R > 1,R < 1,R = 1,B
213,214,Practical application of mutual induction is,Transformer,Dc generator,Ac generator,Capacitor,A
214,215,Transformer is device that works on principle of,Self-induction,Lenz's law,Mutual induction,Motional emf,C
215,216,Efficiency of transformer is defined as,(output power/input power)x100,(input power/output power)x100,Input power/output power,Output powerx100,A
216,217,A transistor can be used as a switch on if vce is nearly,1 v,5 v,0.1 v,9 v,C
217,218,Base of transistor has a thickness of,10⁻⁶ m,10⁻³ m,10⁻⁶µm,10⁻⁴ m,A
218,219,Photo diodes' applications include the,Logic circuits,Automatic switching,Networking,Both a and b,D
219,220,Prefix naming as centi has a factor of,10²,10⁻²,10¹,10⁻¹,B
220,221,Zero error produced by measuring instruments is called,Frequent error,Systematic error,Random error,Both a and b,B
221,222,Prefix known as mega has a symbol,M,G,M,G,C
222,223,Repeated measurement having different values are the,Random error,Frequent error,Systematic error,Both a and b,A
223,224,Uncertainty of measurement can occur due to the,Limitation of instruments,Natural variations,Frequent error,Both a and b,D
224,225,"At surface of earth where air friction is negligible, objects fall with the",Different acceleration,Same velocity,Same acceleration,Same speed,C
225,226,"From equations of distance, correct one is",Vf = vi + 2as,Vf² = vi² + as,Vf² = vi² + 2a,Vf² = vi² + 2as,D
226,227,Correct equation of distance is,Vi = vf + at,Vf = vi + at,Vf = vi + t,Vf = vi + a,B
227,228,Velocity of vertically thrown ball with time will be,Upwards positive,Downwards negative,Upwards negative,Downwards positive,A
228,229,Direction of resultant of two vectors is given by,Cos⁻¹(ay + by/ax + bx),Cos⁻¹(ax + by/ay + bx),Tan-1(ay + by/ax + bx),Tan-1(ay - by/ax - bx),C
229,230,Vector's x-components are represented by formula of,Ax + bx,Ax + by,Ax - bx,Ax - by,A
230,231,Y-components of vectors are represented by formula of,Ay + by,Ay - by,Ay + bx,Ay - bx,A
231,232,X-components of vectors are represented by the,Subtraction of x-components,Subtraction of y-components,Sum of x-components,Sum of y-components,C
232,233,Resultant magnitude of two vectors is given by formula,√((ax + bx)² + (ay + by)²),√((ax + by) + (ay + bx)),√((ax + bx)-(ay + by)),√((ax-bx) + (ay-by)),A
233,234,Product of velocity and mass is called,Momentum,Work,Acceleration,Speed,A
234,235,"In a plane, direction of vectors is denoted by",Line,Point,Angle,Arrowhead,C
235,236,Projection of vector a in direction of x-axis is represented by angle of,Cos,Sin,Tan,Both a and b,A
236,237,Vector sum of two vectors holds the,Multiplicative property,Distributive property,Associative property,Commutative property,D
237,238,"If a vector gets multiplied by a negative number, then its direction",Remain same,Gets reversed,Gets half,Gets double,B
238,239,A vector having 'magnitude only' is called,Scalar,Resultant,Unit vector,Temperature,C
239,240,"If two vectors have same magnitude and are parallel to each other, then they are said to be",Same,Different,Negative,Equal,D
240,241,Physical quantities having magnitude only are called,Vector quantities,Scalar quantities,Mental quantities,Both a and b,B
241,242,"If a vector gets multiplied by a positive number, its direction",Remain same,Reversed,Gets half,Gets double,A
242,243,Vector whose magnitude is zero has a,Positive direction,Arbitrary direction,Negative direction,Both a and b,B
243,244,Addition of vector with its reversed direction is called,Vector addition,Vector subtraction,Vector division,Vector multiplication,B
244,245,Graphical representation of vectors is a directed line segment with,Direction,Point,Circle,Arrowhead,D
245,246,Vector sum of two vectors is also called,Direction,Resultant,Velocity,Magnitude,B
246,247,System of coordinate axes with origin is called,Cartesian,Rectangular coordinate system,Vectors,Both a and b,D
247,248,Position vector that defines position of vector in three dimensions having formula of,√(a² + b² + c²),√(a + b + c),√(a²-b² + c²),(a² + b² + c²),A
248,249,"If 'd' is displacement of body in time 't', then average velocity will be represented as",Vavg = (d/t),Vavg = (t/d),Vavg = (d + t),Vavg = (d-t),A
249,250,Time rate of change of displacement is known as,Displacement,Distance,Speed,Velocity,D
250,251,Graph illustrating velocity of object with time is called,Velocity-speed graph,Velocity-time graph,Speed-time graph,Velocity-displacement graph,B
251,252,Average acceleration of a body during time interval 't' is given by slope of its,Velocity-speed graph,Velocity-time graph,Speed-time graph,Velocity-displacement graph,B
252,253,Area-under-graph in a velocity time graph tells us the,Displacement,Distance,Speed,Distance covered,D
253,254,Area under velocity-time graph is equal to the,1/2(vxt),(vxt),1/2(v + t),(v + t),A
254,255,Frictional effect between layers of flowing fluid is known as,Viscosity,Friction,Gravity,Surface tension,A
255,256,Force required to slide one layer from another measures the,Viscosity,Friction,Gravity,Surface tension,A
256,257,An object moving through liquid facing retarding force is named as,Viscosity,Friction,Drag force,Surface tension,C
257,258,Everything in freely falling system appears to be,Massive,Weightless,Large,Small,B
258,259,"When velocity of elevator changes, apparent weight from true weight",Increases,Remain same,Doesn't differ,Differs,D
259,260,To hold an object from falling in satellite frame of reference requires,Small force,Large force,No force,Gravitational force,C
260,261,Space in which gravitational force acts on a body is known as,Gravitational field,Speed,Work done,Force,A
261,262,"In phenomenon of work done by variable force, forces",Remain constant,Doesn't remain constant,Increases,Decreases,B
262,263,"When angle is equal to zero, work will be",Positive,Negative,Zero,Maximum,D
263,264,"When an object is moved in gravitational field, it is",Work done by a constant force,Work done by a variable force,Work done by a gravitational field,Both a and b,C
264,265,System international unit of work done is newton meter which is known as,Joule,Kelvin,Ampere,Candela,A
265,266,"If angle of work done is less than 90°, then work will be",Negative,Positive,Zero,Both a and b,A
266,267,Product of force and displacement is known as,Distance,Speed,Work done,Force,C
